Country,Total PPP (US$MM),Service (%),Service (US$MM),Country Code,Daily Median Income
Namibia,26600,67.0,17822,516,5.6841736
Jamaica,26060,71.9,18737,388,15.188954
Benin,25390,51.1,12974,204,4.0014644
Rwanda,24680,51.5,12710,646,2.0738049
Moldova,23720,62.0,14706,498,10.60901
Kyrgyzstan,23150,54.2,12547,417,6.0340743
Malawi,22420,56.0,12555,454,1.5339028
Niger,21860,38.7,8460,562,2.1318378
Somalia,20440,32.5,6643,706,
Haiti,19970,57.6,11503,332,1.7051569
Malta,19260,88.7,17084,470,48.106636
Iceland,18180,74.6,13562,352,56.521667
Mauritania,17280,42.9,7413,478,5.2766995
Togo,12970,49.8,6459,768,3.2011387
Bahamas,12060,90.0,10854,44,
Eswatini,11600,48.6,5638,748,2.9537303
Sierra Leone,11550,32.9,3800,694,2.9593496
New Caledonia,11110,72.1,8010,540,
Montenegro,11080,76.6,8487,499,16.274788
Eritrea,9402,58.7,5519,232,
Suriname,8688,57.4,4987,740,13.008748
Fiji,8629,69.1,5963,242,6.643387
Burundi,8007,44.2,3539,108,1.795875
Monaco,7672,86.0,6598,492,
Timor-Leste,7426,34.4,2555,626,2.8969195
Bhutan,7205,42.0,3026,64,13.86247
Maldives,6901,81.0,5590,462,15.8306
Isle of Man,6792,86.0,5841,833,
Lesotho,6656,54.9,3654,426,3.2375739
Guyana,6301,69.3,4367,328,6.042705
Bermuda,6127,93.8,5747,60,
Liberia,6112,52.2,3190,430,3.0950387
Jersey,5569,96.0,5346,832,
Gambia,5556,65.4,3634,270,3.8196523
French Polynesia,5490,84.5,4639,258,
Barbados,5218,88.7,4628,52,
Liechtenstein,4978,52.0,2589,438,
Aruba,4158,66.3,2757,533,
Cabo Verde,3777,73.7,2784,132,
Djibouti,3640,80.2,2919,262,4.0851326
Guernsey,3465,87.0,3015,831,
Central African Republic,3390,40.8,1383,140,1.5665926
Andorra,3327,54.5,1813,20,
Belize,3218,68.0,2188,84,4.6116567
Guinea-Bissau,3171,36.9,1170,624,3.1120498
Curaçao,3128,83.8,2621,531,
Seychelles,2750,83.7,2302,690,19.497965
Saint Lucia,2542,82.8,2105,662,13.024724
Cayman Islands,2507,92.3,2314,136,
Greenland,2413,73.9,1783,304,
Antigua and Barbuda,2398,77.3,1854,28,
San Marino,2064,60.7,1253,674,
Gibraltar,2044,100.0,2044,292,
Faroe Islands,2001,43.0,860,234,
Grenada,1634,77.7,1270,308,14.055036
Saint Kitts and Nevis,1550,68.9,1068,659,
Solomon Islands,1330,58.1,773,90,3.103404
Comoros,1319,40.5,534,174,4.389313
Saint Vincent and the Grenadines,1265,75.5,955,670,
Northern Mariana Islands,1242,40.2,499,580,
Samoa,1137,66.0,750,882,7.5771036
Dominica,783,65.1,510,212,
Vanuatu,772,60.8,469,548,4.6742573
Sao Tome and Principe,686,73.4,504,678,3.998577
American Samoa,658,60.2,396,16,
Turks and Caicos Islands,632,90.6,573,796,
Tonga,591,59.8,353,776,9.959987
Saint Martin,562,84.0,472,663,
British Virgin Islands,500,93.1,466,92,
Sint Maarten,366,81.3,298,534,
Micronesia,348,54.8,191,583,4.2220106
Cook Islands,300,82.1,246,184,
Palau,264,78.0,206,585,
Saint Pierre and Miquelon,261,83.0,217,666,
Kiribati,227,70.0,159,296,5.325838
Marshall Islands,196,85.7,168,584,9.188247
Anguilla,175,86.4,151,660,
Montserrat,167,90.3,151,500,
Nauru,160,60.8,97,520,5.6519923
Tuvalu,42,70.0,29,798,6.2684546
Niue,10,49.5,5,570,
