Country,Total PPP (US$MM),Agricultural (%),Industrial (%),Service (%),Agricultural (US$MM),Industrial (US$MM),Service (US$MM),Country Code
Lithuania,23210000,7.9,40.5,51.6,1833590,9400050,11976360,440
Cameroon,23210000,7.9,40.5,51.6,1833590,9400050,11976360,120
Uganda,23210000,7.9,40.5,51.6,1833590,9400050,11976360,800
Jordan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,400
Paraguay,23210000,7.9,40.5,51.6,1833590,9400050,11976360,600
Lebanon,23210000,7.9,40.5,51.6,1833590,9400050,11976360,422
Costa Rica,23210000,7.9,40.5,51.6,1833590,9400050,11976360,188
"Bolivia, Plurinational State of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,068
Nepal,23210000,7.9,40.5,51.6,1833590,9400050,11976360,524
Uruguay,23210000,7.9,40.5,51.6,1833590,9400050,11976360,858
Yemen,23210000,7.9,40.5,51.6,1833590,9400050,11976360,887
Macao,23210000,7.9,40.5,51.6,1833590,9400050,11976360,446
Slovenia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,705
Bahrain,23210000,7.9,40.5,51.6,1833590,9400050,11976360,048
Afghanistan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,004
Zambia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,894
"Congo, Democratic Republic of the",23210000,7.9,40.5,51.6,1833590,9400050,11976360,180
Cambodia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,116
Luxembourg,23210000,7.9,40.5,51.6,1833590,9400050,11976360,442
Libya,23210000,7.9,40.5,51.6,1833590,9400050,11976360,434
Senegal,23210000,7.9,40.5,51.6,1833590,9400050,11976360,686
Latvia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,428
El Salvador,23210000,7.9,40.5,51.6,1833590,9400050,11976360,222
Syrian Arab Republic,23210000,7.9,40.5,51.6,1833590,9400050,11976360,760
Lao People's Democratic Republic,23210000,7.9,40.5,51.6,1833590,9400050,11976360,418
Honduras,23210000,7.9,40.5,51.6,1833590,9400050,11976360,340
Bosnia and Herzegovina,23210000,7.9,40.5,51.6,1833590,9400050,11976360,070
Trinidad and Tobago,23210000,7.9,40.5,51.6,1833590,9400050,11976360,780
Estonia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,233
Mali,23210000,7.9,40.5,51.6,1833590,9400050,11976360,466
"Korea, Democratic People's Republic of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,408
Georgia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,268
Madagascar,23210000,7.9,40.5,51.6,1833590,9400050,11976360,450
Mongolia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,496
Botswana,23210000,7.9,40.5,51.6,1833590,9400050,11976360,072
Mozambique,23210000,7.9,40.5,51.6,1833590,9400050,11976360,508
Gabon,23210000,7.9,40.5,51.6,1833590,9400050,11976360,266
Nicaragua,23210000,7.9,40.5,51.6,1833590,9400050,11976360,558
Albania,23210000,7.9,40.5,51.6,1833590,9400050,11976360,008
Burkina Faso,23210000,7.9,40.5,51.6,1833590,9400050,11976360,854
Zimbabwe,23210000,7.9,40.5,51.6,1833590,9400050,11976360,716
Brunei Darussalam,23210000,7.9,40.5,51.6,1833590,9400050,11976360,096
Cyprus,23210000,7.9,40.5,51.6,1833590,9400050,11976360,196
Equatorial Guinea,23210000,7.9,40.5,51.6,1833590,9400050,11976360,226
North Macedonia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,807
Papua New Guinea,23210000,7.9,40.5,51.6,1833590,9400050,11976360,598
Congo,23210000,7.9,40.5,51.6,1833590,9400050,11976360,178
Chad,23210000,7.9,40.5,51.6,1833590,9400050,11976360,148
