Country/Economy,Total GDP (US$MM),Agricultural,Industrial,Service,Agricultural (US$MM),Industrial (US$MM),Service (US$MM),country-code
Uruguay,78160,6.2,24.1,69.7,4846,18837,54478,858
Yemen,73630,20.3,11.8,67.9,14947,8688,49995,887
Macao,71820,0.0,6.3,93.7,0,4525,67295,446
Slovenia,71230,1.8,32.2,65.9,1282,22936,46941,705
Bahrain,71170,0.3,39.3,60.4,214,27970,42987,048
Afghanistan,69450,23.0,21.1,55.9,15974,14654,38823,004
Zambia,68930,7.5,35.3,57.0,5170,24332,39290,894
Congo, Democratic Republic of the,68600,19.7,43.6,40.8,13514,29910,25176,180
Cambodia,64210,25.3,32.8,41.9,16245,21061,26904,116
Luxembourg,62110,0.3,12.8,86.9,186,7950,53974,442
Libya,61970,1.3,52.3,46.4,806,32410,28754,434
Senegal,54800,16.9,24.3,58.8,9261,13316,32222,686
Latvia,54020,3.9,22.4,73.7,2107,12100,39813,428
El Salvador,51170,12.0,27.7,60.3,6140,14174,30856,222
Syrian Arab Republic,50280,20.0,19.5,60.8,10056,9805,30570,760
Lao People's Democratic Republic,49340,20.9,33.2,45.9,10312,16381,22647,418
Honduras,46300,14.2,28.8,57.0,6575,13334,26391,340
Bosnia and Herzegovina,44830,6.8,28.9,64.3,3048,12956,28826,070
Trinidad and Tobago,42850,0.4,47.8,51.7,171,20482,22153,780
Estonia,41650,2.8,29.2,68.1,1166,12162,28364,233
Mali,41220,41.8,18.1,40.5,17230,7461,16694,466
Korea, Democratic People's Republic of,40000,22.5,47.6,54.8,2999,19040,11960,408
Georgia,39850,8.2,23.7,67.9,3268,9444,27058,268
Madagascar,39850,24.0,19.5,56.4,9564,7771,22475,450
Mongolia,39730,12.1,38.2,49.7,4807,15177,19746,496
Botswana,39010,1.8,27.5,70.6,702,10728,27541,072
Mozambique,37090,23.9,19.3,56.8,8865,7158,21067,508
Gabon,36660,5.0,44.7,50.4,1833,16387,18477,266
Nicaragua,36400,15.5,24.4,60.0,5642,8882,21840,558
Albania,36010,21.7,24.2,54.1,7814,8714,19481,008
Burkina Faso,35850,31.0,23.9,44.9,11114,8568,16097,854
Zimbabwe,34270,12.0,22.2,65.8,4112,7608,22550,716
Brunei Darussalam,33870,1.2,56.6,42.3,406,19170,14327,096
Cyprus,31780,2.0,12.5,85.5,636,3973,27172,196
Equatorial Guinea,31520,2.5,54.6,42.9,788,17210,13522,266
North Macedonia,31030,10.9,26.6,62.5,3382,8254,19394,807
Papua New Guinea,30190,22.1,42.9,35.0,6672,12952,10567,598
Congo,29390,9.3,51.0,39.7,2733,14989,11668,178
Chad,28620,52.3,14.7,33.1,14968,4207,9473,148
Tajikistan,28430,28.6,25.5,45.9,8131,7250,13049,762
Armenia,28340,16.7,28.2,54.8,4733,7992,15530,051
Mauritius,28270,4.0,21.8,74.1,1131,6163,20948,480
Guinea,27970,19.8,32.1,48.1,5538,8978,13454,324
Namibia,26600,6.7,26.3,67.0,1782,6996,17822,516
Jamaica,26060,7.0,21.1,71.9,1824,5499,18737,388
Benin,25390,26.1,22.8,51.1,6627,5789,12974,204
Rwanda,24680,30.9,17.6,51.5,7626,4344,12710,646
Moldova,23720,17.7,20.3,62.0,4198,4815,14706,498
Kyrgyzstan,23150,14.6,31.2,54.2,3380,7223,12547,417
Malawi,22420,28.6,15.4,56.0,6412,3453,12555,454
Niger,21860,41.6,19.5,38.7,9094,4263,8460,562
Somalia,20440,60.2,7.4,32.5,12305,1513,6643,706
Haiti,19970,22.1,20.3,57.6,4413,4054,11503,332
Kosovo,19600,11.9,17.7,70.4,2332,3469,13798,
Malta,19260,1.1,10.2,88.7,212,1965,17084,470
Iceland,18180,5.8,19.7,74.6,1054,3581,13562,352
Mauritania,17280,27.8,29.3,42.9,4804,5063,7413,478
Togo,12970,28.8,21.8,49.8,3735,2827,6459,768
Bahamas,12060,2.3,7.7,90.0,277,929,10854,044
Eswatini,11600,6.5,45.0,48.6,754,5220,5638,748
Sierra Leone,11550,60.7,6.5,32.9,7011,751,3800,694
New Caledonia,11110,1.4,26.4,72.1,156,2933,8010,540
Montenegro,11080,7.5,15.9,76.6,831,1762,8487,499
Eritrea,9402,11.7,29.6,58.7,1100,2783,5519,232
Suriname,8688,11.6,31.1,57.4,1008,2702,4987,740
Fiji,8629,13.5,17.4,69.1,1165,1501,5963,242
Burundi,8007,39.5,16.4,44.2,3163,1313,3539,108
Monaco,7672,0.0,14.0,86.0,0,1074,6598,492
Timor-Leste,7426,9.1,56.7,34.4,676,4211,2555,626
Bhutan,7205,16.2,41.8,42.0,1167,3012,3026,064
Maldives,6901,3.0,16.0,81.0,207,1104,5590,462
Isle of Man,6792,1.0,13.0,86.0,68,883,5841,833
Lesotho,6656,5.8,39.2,54.9,386,2609,3654,426
Guyana,6301,15.4,15.3,69.3,970,964,4367,328
Bermuda,6127,0.9,5.3,93.8,277,325,5747,060
Liberia,6112,34.0,13.8,52.2,2078,843,3190,430
Jersey,5569,2.0,2.0,96.0,111,111,5346,832
Gambia,5556,20.4,14.2,65.4,1133,789,3634,270
French Polynesia,5490,2.5,13.0,84.5,137,714,4639,258
Barbados,5218,1.5,9.8,88.7,78,511,4628,052
Liechtenstein,4978,7.0,41.0,52.0,348,2041,2589,438
Aruba,4158,0.4,33.3,66.3,17,1385,2757,533
Cabo Verde,3777,8.9,17.5,73.7,336,661,2784,132
Djibouti,3640,2.4,17.3,80.2,87,630,2919,262
Guernsey,3465,3.0,10.0,87.0,104,347,3015,831
Central African Republic,3390,43.2,16.0,40.8,1464,542,1383,140
Andorra,3327,11.9,33.6,54.5,396,1118,1813,020
Belize,3218,10.3,21.6,68.0,331,695,2188,084
Guinea-Bissau,3171,50.0,13.1,36.9,1586,415,1170,624
Curaçao,3128,0.7,15.5,83.8,22,485,2621,531
